SurveyIDR12,SiteID,Mean20m,Mean40m,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,MeanMiner20m,MeanMiner40m,Threshold20m,Threshold40m,NumberOFRepeats
GP3_SpringL_2021,GP3,45.5,112.5,29,44,0,0,0,0,0,0,0,2
GP3_Summer_2019,GP3,29.5,54.5,14,22,0,0,0,0,0,0,0,2
GP3_Summer_2020,GP3,50.5,74,26,28,1,8,8,4,4,1,0,2
GP3_Summer_2021,GP3,42.5,64,29,35,0,0,0,0,0,0,0,2
GP3_Winter_2019,GP3,35.5,66,17,21,0,0,0,0,0,0,0,2
GP3_Winter_2020,GP3,23,37.5,14,19,1,13,13,6.5,6.5,1,0,2
GP3_Winter_2021,GP3,75.5,89.5,22,24,1,3,4,1.5,2,0,0,2
GP4_Autumn_2021,GP4,49,75,23,26,0,0,0,0,0,0,0,2
GP4_SpringE_2020,GP4,42,60,22,26,1,4,4,2,2,0,0,2
GP4_SpringL_2019,GP4,47.5,60,27,29,1,2,2,1,1,0,0,2
GP4_SpringL_2020,GP4,46.5,76,25,26,1,5,7,2.5,3.5,1,0,2
GP4_SpringL_2021,GP4,46,204,33,49,0,0,0,0,0,0,0,2
GP4_Summer_2019,GP4,45.5,83.5,17,27,1,0,4,0,2,0,0,2
GP4_Summer_2020,GP4,49.5,78,25,28,1,5,7,2.5,3.5,1,0,2
GP4_Summer_2021,GP4,51.5,89,37,48,0,0,0,0,0,0,0,2
GP4_Winter_2019,GP4,55.5,98.5,21,22,1,4,14,2,7,0,1,2
GP4_Winter_2020,GP4,38.5,53,20,21,1,4,4,2,2,0,0,2
GP4_Winter_2021,GP4,72.5,86.5,22,26,0,0,0,0,0,0,0,2
IG1_Autumn_2021,IG1,45.5,54.5,13,14,1,28,28,14,14,1,1,2
IG1_SpringE_2020,IG1,39.5,49,19,22,1,22,25,11,12.5,1,1,2
IG1_SpringL_2019,IG1,66,104.5,26,31,1,14,19,7,9.5,1,1,2
IG1_SpringL_2020,IG1,44.5,64,23,26,1,24,27,12,13.5,1,1,2
IG1_SpringL_2021,IG1,43.5,58.5,21,24,1,12,15,6,7.5,1,1,2
IG1_Summer_2019,IG1,34.5,70.5,20,30,1,14,21,7,10.5,1,1,2
IG1_Summer_2020,IG1,39,46.5,17,20,1,36,36,18,18,1,1,2
IG1_Summer_2021,IG1,90.5,102.5,19,24,1,16,16,8,8,1,1,2
IG1_Winter_2019,IG1,21.5,74,12,18,1,9,37,4.5,18.5,1,1,2
IG1_Winter_2020,IG1,64,104.5,15,23,1,19,23,9.5,11.5,1,1,2
IG1_Winter_2021,IG1,55,65.5,21,22,1,22,24,11,12,1,1,2
IG2_Autumn_2021,IG2,47,62.5,11,15,1,10,10,5,5,1,0,2
IG2_SpringE_2020,IG2,65,81.5,24,28,0,0,0,0,0,0,0,2
IG2_SpringL_2019,IG2,51.5,112.5,22,34,1,5,5,2.5,2.5,1,0,2
IG2_SpringL_2020,IG2,54,71,29,33,1,9,10,4.5,5,1,0,2
