SurveyIDR12,SiteID,Total20,Total40,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,DetectedMiner20,DetectedMiner40,Threshold20m,Threshold40m
GP4_SpringL_2020,GP4,55,85,16,17,1,2,4,1,1,1,1
GP4_SpringL_2021,GP4,32,283,13,28,0,0,0,0,0,0,0
GP4_Summer_2019,GP4,61,91,13,21,1,0,3,0,1,0,0
GP4_Summer_2020,GP4,59,87,17,18,1,5,7,1,1,1,1
GP4_Summer_2021,GP4,37,62,24,31,0,0,0,0,0,0,0
GP4_Winter_2019,GP4,53,92,13,14,1,3,6,1,1,1,1
GP4_Winter_2020,GP4,46,55,14,15,1,1,1,1,1,0,0
GP4_Winter_2021,GP4,84,87,15,17,0,0,0,0,0,0,0
IG1_Autumn_2021,IG1,46,46,10,10,1,17,17,1,1,1,1
IG1_SpringE_2020,IG1,35,49,11,14,1,13,16,1,1,1,1
IG1_SpringL_2019,IG1,56,94,21,24,1,7,9,1,1,1,1
IG1_SpringL_2020,IG1,49,77,15,21,1,12,15,1,1,1,1
IG1_SpringL_2021,IG1,55,74,16,22,1,5,7,1,1,1,1
IG1_Summer_2019,IG1,31,72,12,22,1,7,11,1,1,1,1
IG1_Summer_2020,IG1,49,59,12,15,1,19,19,1,1,1,1
IG1_Summer_2021,IG1,83,98,12,17,1,8,8,1,1,1,1
IG1_Winter_2019,IG1,21,88,8,14,1,3,19,1,1,1,1
IG1_Winter_2020,IG1,71,113,10,12,1,11,15,1,1,1,1
IG1_Winter_2021,IG1,42,56,8,10,1,11,11,1,1,1,1
IG2_Autumn_2021,IG2,60,78,9,13,1,6,6,1,1,1,1
IG2_SpringE_2020,IG2,65,84,19,24,0,0,0,0,0,0,0
IG2_SpringL_2019,IG2,39,85,14,26,1,1,1,1,1,0,0
IG2_SpringL_2020,IG2,76,97,24,27,1,5,5,1,1,1,1
IG2_SpringL_2021,IG2,56,79,21,30,1,10,10,1,1,1,1
IG2_Summer_2019,IG2,35,70,14,22,1,0,5,0,1,0,1
IG2_Summer_2020,IG2,45,64,13,18,1,7,7,1,1,1,1
IG2_Summer_2021,IG2,51,80,24,37,1,0,2,0,1,0,0
IG2_Winter_2019,IG2,38,102,15,17,1,12,31,1,1,1,1
IG2_Winter_2020,IG2,46,78,13,17,1,0,2,0,1,0,0
IG2_Winter_2021,IG2,62,78,16,19,1,8,11,1,1,1,1
RC1_Autumn_2021,RC1,52,83,20,20,0,0,0,0,0,0,0
RC1_SpringE_2020,RC1,24,37,13,16,0,0,0,0,0,0,0
RC1_SpringL_2019,RC1,53,78,22,32,1,0,1,0,1,0,0
RC1_SpringL_2020,RC1,33,53,14,17,0,0,0,0,0,0,0
RC1_SpringL_2021,RC1,43,71,18,18,0,0,0,0,0,0,0
RC1_Summer_2019,RC1,17,44,8,14,1,6,13,1,1,1,1
RC1_Summer_2020,RC1,44,66,17,17,0,0,0,0,0,0,0
RC1_Summer_2021,RC1,69,103,21,21,0,0,0,0,0,0,0
RC1_Winter_2019,RC1,68,129,27,32,1,3,3,1,1,1,0
RC1_Winter_2020,RC1,28,40,13,16,1,8,8,1,1,1,1
RC1_Winter_2021,RC1,67,102,26,26,0,0,0,0,0,0,0
RC2_Autumn_2021,RC2,37,56,14,16,0,0,0,0,0,0,0
RC2_SpringE_2020,RC2,37,58,13,14,0,0,0,0,0,0,0
RC2_SpringL_2019,RC2,54,76,24,28,0,0,0,0,0,0,0
RC2_SpringL_2020,RC2,35,57,15,17,0,0,0,0,0,0,0
RC2_SpringL_2021,RC2,32,53,15,17,0,0,0,0,0,0,0
RC2_Summer_2019,RC2,18,42,10,20,1,4,4,1,1,1,1
RC2_Summer_2020,RC2,28,46,13,15,0,0,0,0,0,0,0
RC2_Summer_2021,RC2,47,60,17,17,0,0,0,0,0,0,0
RC2_Winter_2019,RC2,31,93,18,22,1,1,1,1,1,0,0
RC2_Winter_2020,RC2,31,43,16,17,0,0,0,0,0,0,0
RC2_Winter_2021,RC2,57,92,19,21,0,0,0,0,0,0,0
RC3_Autumn_2021,RC3,50,111,14,18,0,0,0,0,0,0,0
RC3_SpringE_2020,RC3,113,147,18,20,0,0,0,0,0,0,0
RC3_SpringL_2019,RC3,25,54,12,20,1,0,2,0,1,0,0
RC3_SpringL_2020,RC3,85,137,15,20,0,0,0,0,0,0,0
RC3_SpringL_2021,RC3,41,75,16,23,0,0,0,0,0,0,0
RC3_Summer_2019,RC3,44,65,13,22,0,0,0,0,0,0,0
RC3_Summer_2020,RC3,56,94,13,18,0,0,0,0,0,0,0
RC3_Summer_2021,RC3,85,113,18,21,0,0,0,0,0,0,0
RC3_Winter_2019,RC3,41,90,12,21,0,0,0,0,0,0,0
RC3_Winter_2020,RC3,121,165,14,20,0,0,0,0,0,0,0
RC3_Winter_2021,RC3,68,168,23,25,0,0,0,0,0,0,0
RC4_Autumn_2021,RC4,49,65,19,21,0,0,0,0,0,0,0
RC4_SpringE_2020,RC4,51,81,13,16,0,0,0,0,0,0,0
RC4_SpringL_2019,RC4,28,40,14,16,1,1,1,1,1,0,0
RC4_SpringL_2020,RC4,48,77,14,16,0,0,0,0,0,0,0
RC4_SpringL_2021,RC4,74,99,23,25,0,0,0,0,0,0,0
RC4_Summer_2019,RC4,51,101,9,15,0,0,0,0,0,0,0
RC4_Summer_2020,RC4,34,52,14,16,0,0,0,0,0,0,0
RC4_Summer_2021,RC4,68,83,19,22,0,0,0,0,0,0,0
RC4_Winter_2019,RC4,37,87,12,17,0,0,0,0,0,0,0
RC4_Winter_2020,RC4,56,86,13,16,0,0,0,0,0,0,0
RC4_Winter_2021,RC4,54,69,21,21,0,0,0,0,0,0,0
RC5_Autumn_2021,RC5,48,74,20,21,0,0,0,0,0,0,0
RC5_SpringE_2020,RC5,41,49,15,17,0,0,0,0,0,0,0
RC5_SpringL_2019,RC5,31,47,13,17,0,0,0,0,0,0,0
RC5_SpringL_2020,RC5,23,30,12,14,0,0,0,0,0,0,0
RC5_SpringL_2021,RC5,54,64,17,17,0,0,0,0,0,0,0
RC5_Summer_2019,RC5,68,128,13,21,1,0,2,0,1,0,0
RC5_Summer_2020,RC5,32,39,12,14,0,0,0,0,0,0,0
RC5_Summer_2021,RC5,55,66,17,18,0,0,0,0,0,0,0
RC5_Winter_2019,RC5,53,111,12,19,0,0,0,0,0,0,0
RC5_Winter_2020,RC5,23,27,12,14,0,0,0,0,0,0,0
RC5_Winter_2021,RC5,49,73,22,24,0,0,0,0,0,0,0
RC6_Autumn_2021,RC6,39,64,14,18,1,3,3,1,1,1,0
RC6_SpringE_2020,RC6,23,38,7,14,1,7,7,1,1,1,1
RC6_SpringL_2019,RC6,29,45,13,17,1,2,3,1,1,1,0
RC6_SpringL_2020,RC6,41,72,8,16,1,3,3,1,1,1,0
RC6_SpringL_2021,RC6,20,33,10,13,1,2,3,1,1,1,0
RC6_Summer_2019,RC6,108,161,11,16,1,12,12,1,1,1,1
RC6_Summer_2020,RC6,18,37,8,14,1,3,3,1,1,1,0
RC6_Summer_2021,RC6,20,48,9,16,1,4,6,1,1,1,1
RC6_Winter_2019,RC6,24,55,10,15,1,8,19,1,1,1,1
RC6_Winter_2020,RC6,24,39,7,14,1,7,7,1,1,1,1
RC6_Winter_2021,RC6,42,71,12,20,1,4,8,1,1,1,1
SR1_Autumn_2021,SR1,66,74,13,15,1,19,22,1,1,1,1
SR1_SpringE_2020,SR1,53,94,18,23,1,12,18,1,1,1,1
SR1_SpringL_2019,SR1,54,81,16,20,1,10,17,1,1,1,1
SR1_SpringL_2020,SR1,38,57,15,20,1,14,16,1,1,1,1
SR1_SpringL_2021,SR1,36,50,16,20,1,5,8,1,1,1,1
SR1_Summer_2019,SR1,44,94,14,20,1,9,16,1,1,1,1
SR1_Summer_2020,SR1,60,85,11,17,1,21,25,1,1,1,1
SR1_Summer_2021,SR1,33,38,8,11,1,8,8,1,1,1,1
SR1_Winter_2019,SR1,49,142,10,14,1,15,39,1,1,1,1
SR1_Winter_2020,SR1,111,145,12,14,1,11,18,1,1,1,1
